FID,Shape,SubID,slope,aspect,land,elev,HRU_ID,area_m,ZonalElev,ZonalSlp,ZonalAspt,ZonalSx,ZonalSw,Longitude,Latitude
24,"(355315.9958947315, 4459551.492805683)",11,1,4,42,3000,Sub11_E3000_S1_A4_L42,44127058.7629,2826.800048828125,15.683600425720215,229.3699951171875,-3.1341800689697266,378.23699951171875,-106.701770308,40.2739371208
25,"(345505.1576889288, 4464558.415961868)",12,1,1,40,2250,Sub12_E2250_S1_A1_L40,13885186.8267,2261.590087890625,13.917900085449219,170.55099487304688,4.6728901863098145,371.3599853515625,-106.818320476,40.317269143
26,"(352546.3207378568, 4463978.53787173)",12,1,1,42,3000,Sub12_E3000_S1_A1_L42,24086830.4094,2885.489990234375,13.599800109863281,189.69500732421875,3.7927699089050293,377.0369873046875,-106.735352951,40.3133199581
27,"(353736.77922437, 4466975.95850917)",13,1,1,42,3000,Sub13_E3000_S1_A1_L42,19335126.0236,2851.659912109375,14.366700172424316,161.3419952392578,8.681260108947754,369.52398681640625,-106.722034738,40.340521661
28,"(353855.9385115564, 4468100.088740689)",13,1,4,42,3000,Sub13_E3000_S1_A4_L42,27381998.8422,2805.3701171875,12.011799812316895,229.6009979248047,-1.069599986076355,382.0920104980469,-106.72088973,40.3506655437
29,"(353875.2195295248, 4475532.325898848)",14,1,5,42,3000,Sub14_E3000_S1_A5_L42,141615023.078,2781.639892578125,11.41510009765625,205.93099975585938,2.0602099895477295,378.2229919433594,-106.72236712,40.4175971659
30,"(327931.58596504806, 4455626.803719129)",15,1,1,40,2750,Sub15_E2750_S1_A1_L40,30817778.3986,2549.010009765625,12.656700134277344,194.38600158691406,4.980510234832764,373.3169860839844,-107.022637426,40.2334161639
31,"(326505.89052412927, 4454922.323638)",15,1,2,40,2750,Sub15_E2750_S1_A2_L40,28470989.2126,2620.2900390625,14.003000259399414,154.24899291992188,5.57411003112793,376.10400390625,-107.039195931,40.22677919
32,"(339261.7710033172, 4470416.188008365)",16,1,1,50,2250,Sub16_E2250_S1_A1_L50,16814497.0404,2162.1298828125,7.029329776763916,123.31900024414062,6.080939769744873,377.62701416015625,-106.89323903,40.3688364384
33,"(337125.5063321835, 4469116.998624856)",16,1,2,40,2250,Sub16_E2250_S1_A2_L40,19131096.7457,2288.6298828125,14.676799774169922,125.34400177001953,7.612929821014404,376.1730041503906,-106.883633843,40.3992393056
34,"(339758.65524112823, 4470817.610080986)",16,1,3,50,2250,Sub16_E2250_S1_A3_L50,15713309.6963,2151.97998046875,7.5035600662231445,161.64599609375,2.0719799995422363,381.4320068359375,-106.854348456,40.3875925375
35,"(335886.81235808966, 4465397.825477268)",16,1,5,40,2500,Sub16_E2500_S1_A5_L40,25670252.141,2353.27001953125,13.774299621582031,242.6230010986328,2.3423800468444824,372.1789855957031,-106.938866999,40.3110812346
